Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Velocity,PositionX,PositionY,HorizontalInput,VerticalInput
1.34761273860931,2.00632238388062,5.90059471130371,10,5.94382333755493,18.31934,-100.1243,13.7426,-0.5,0
0.51356714963913,0.880928516387939,5.78457260131836,10,5.88638305664063,17.31931,-98.1668,22.38629,-0.5,0
1.12152409553528,2.48273301124573,10,10,4.56579685211182,17.19931,-99.63431,30.84426,-0.5,0
3.14873456954956,6.26356935501099,10,4.46219396591187,2.48670959472656,16.7593,-104.1383,38.02018,-0.429626435041428,0
4.11997652053833,6.70924520492554,10,2.79005932807922,1.14862954616547,16.31929,-110.2673,43.63754,0.5,0
2.86082148551941,4.72779417037964,10,10,2.68473887443542,16.03929,-115.9014,49.3348,-0.5,0.24092561006546
3.44007563591003,5.62535715103149,10,7.0991735458374,2.3123836517334,15.88576,-123.0844,52.56556,-0.5,0.790482580661774
2.89792442321777,4.77626085281372,10,7.55567407608032,3.20151329040527,19.84252,-131.9664,53.72885,-0.0751874968409538,1
3.92824506759644,8.94029998779297,10,3.81122946739197,2.30834984779358,20,-141.9355,53.48141,0,1
4.62943458557129,9.6220178604126,10,2.76632785797119,1.58636128902435,20,-151.9139,52.84281,0,1
4.83932304382324,9.18021774291992,10,2.32265186309814,1.2216340303421,20,-161.9071,52.50566,0.15504153072834,1
4.67200183868408,8.74381256103516,10,2.6343207359314,1.36376881599426,20,-171.9066,52.60177,0,1
4.54560470581055,8.50703525543213,10,2.88190174102783,1.49229872226715,20,-181.9061,52.69828,0,0.517886877059937
